laus_code,state_fips,county_fips,county,state,year,labor_force,num_employed,num_unemployed,unemp_rate
CN0100100000000,1,1,Autauga County,AL,2016,25649,24297,1352,5.3
CN0100300000000,1,3,Baldwin County,AL,2016,89931,85061,4870,5.4
CN0100500000000,1,5,Barbour County,AL,2016,8302,7584,718,8.6
CN0100700000000,1,7,Bibb County,AL,2016,8573,8004,569,6.6
CN0100900000000,1,9,Blount County,AL,2016,24525,23171,1354,5.5
CN0101100000000,1,11,Bullock County,AL,2016,4811,4466,345,7.2
CN0101300000000,1,13,Butler County,AL,2016,9132,8481,651,7.1
CN0101500000000,1,15,Calhoun County,AL,2016,45794,42727,3067,6.7
CN0101700000000,1,17,Chambers County,AL,2016,15134,14295,839,5.5
CN0101900000000,1,19,Cherokee County,AL,2016,11163,10581,582,5.2
CN0102100000000,1,21,Chilton County,AL,2016,19153,18077,1076,5.6
CN0102300000000,1,23,Choctaw County,AL,2016,4300,3918,382,8.9
CN0102500000000,1,25,Clarke County,AL,2016,8011,7118,893,11.1
CN0102700000000,1,27,Clay County,AL,2016,5558,5216,342,6.2
CN0102900000000,1,29,Cleburne County,AL,2016,5831,5476,355,6.1
CN0103100000000,1,31,Coffee County,AL,2016,20402,19167,1235,6.1
CN0103300000000,1,33,Colbert County,AL,2016,23707,22045,1662,7
CN0103500000000,1,35,Conecuh County,AL,2016,4593,4197,396,8.6
CN0103700000000,1,37,Coosa County,AL,2016,4444,4171,273,6.1
CN0103900000000,1,39,Covington County,AL,2016,15392,14315,1077,7
CN0104100000000,1,41,Crenshaw County,AL,2016,6451,6063,388,6
CN0104300000000,1,43,Cullman County,AL,2016,37715,35792,1923,5.1
CN0104500000000,1,45,Dale County,AL,2016,20078,18890,1188,5.9
CN0104700000000,1,47,Dallas County,AL,2016,15530,14071,1459,9.4
CN0104900000000,1,49,DeKalb County,AL,2016,29016,27216,1800,6.2
CN0105100000000,1,51,Elmore County,AL,2016,36726,34917,1809,4.9
CN0105300000000,1,53,Escambia County,AL,2016,14633,13648,985,6.7
CN0105500000000,1,55,Etowah County,AL,2016,43887,41269,2618,6
CN0105700000000,1,57,Fayette County,AL,2016,6543,6087,456,7
CN0105900000000,1,59,Franklin County,AL,2016,13723,12886,837,6.1
CN0106100000000,1,61,Geneva County,AL,2016,10905,10263,642,5.9
CN0106300000000,1,63,Greene County,AL,2016,2893,2600,293,10.1
CN0106500000000,1,65,Hale County,AL,2016,6050,5579,471,7.8
CN0106700000000,1,67,Henry County,AL,2016,6762,6316,446,6.6
CN0106900000000,1,69,Houston County,AL,2016,44718,42089,2629,5.9
CN0107100000000,1,71,Jackson County,AL,2016,23636,22117,1519,6.4
CN0107300000000,1,73,Jefferson County,AL,2016,310908,292697,18211,5.9
CN0107500000000,1,75,Lamar County,AL,2016,5708,5383,325,5.7
CN0107700000000,1,77,Lauderdale County,AL,2016,43009,40246,2763,6.4
CN0107900000000,1,79,Lawrence County,AL,2016,13729,12763,966,7
CN0108100000000,1,81,Lee County,AL,2016,72893,69066,3827,5.3
CN0108300000000,1,83,Limestone County,AL,2016,40575,38424,2151,5.3
CN0108500000000,1,85,Lowndes County,AL,2016,3803,3394,409,10.8
CN0108700000000,1,87,Macon County,AL,2016,7981,7364,617,7.7
CN0108900000000,1,89,Madison County,AL,2016,173295,164279,9016,5.2
CN0109100000000,1,91,Marengo County,AL,2016,7640,7072,568,7.4
CN0109300000000,1,93,Marion County,AL,2016,12586,11741,845,6.7
CN0109500000000,1,95,Marshall County,AL,2016,41255,38994,2261,5.5
CN0109700000000,1,97,Mobile County,AL,2016,185092,172376,12716,6.9
CN0109900000000,1,99,Monroe County,AL,2016,7281,6600,681,9.4
CN0110100000000,1,101,Montgomery County,AL,2016,104822,98688,6134,5.9
CN0110300000000,1,103,Morgan County,AL,2016,55331,52235,3096,5.6
CN0110500000000,1,105,Perry County,AL,2016,3467,3100,367,10.6
CN0110700000000,1,107,Pickens County,AL,2016,7994,7439,555,6.9
CN0110900000000,1,109,Pike County,AL,2016,15157,14188,969,6.4
CN0111100000000,1,111,Randolph County,AL,2016,9491,8952,539,5.7
CN0111300000000,1,113,Russell County,AL,2016,24007,22653,1354,5.6
CN0111500000000,1,115,St. Clair County,AL,2016,38588,36533,2055,5.3
CN0111700000000,1,117,Shelby County,AL,2016,108320,103555,4765,4.4
CN0111900000000,1,119,Sumter County,AL,2016,5143,4741,402,7.8
CN0112100000000,1,121,Talladega County,AL,2016,34781,32429,2352,6.8
CN0112300000000,1,123,Tallapoosa County,AL,2016,18906,17847,1059,5.6
CN0112500000000,1,125,Tuscaloosa County,AL,2016,98533,92848,5685,5.8
CN0112700000000,1,127,Walker County,AL,2016,25658,23706,1952,7.6
CN0112900000000,1,129,Washington County,AL,2016,6776,6184,592,8.7
CN0113100000000,1,131,Wilcox County,AL,2016,2809,2396,413,14.7
CN0113300000000,1,133,Winston County,AL,2016,9403,8714,689,7.3
CN0201300000000,2,13,Aleutians East Borough,AK,2016,2498,2430,68,2.7
CN0201600000000,2,16,Aleutians West Census Area,AK,2016,3907,3780,127,3.3
CN0202000000000,2,20,Anchorage Borough/municipality,AK,2016,156112,147886,8226,5.3
CN0205000000000,2,50,Bethel Census Area,AK,2016,7018,6029,989,14.1
CN0206000000000,2,60,Bristol Bay Borough,AK,2016,403,375,28,6.9
CN0206800000000,2,68,Denali Borough,AK,2016,1107,1012,95,8.6
CN0207000000000,2,70,Dillingham Census Area,AK,2016,1983,1791,192,9.7
CN0209000000000,2,90,Fairbanks North Star Borough,AK,2016,46098,43491,2607,5.7
CN0210000000000,2,100,Haines Borough,AK,2016,1077,971,106,9.8
CN0210500000000,2,105,Hoonah-Angoon Census Area,AK,2016,1202,1064,138,11.5
CN0211000000000,2,110,Juneau Borough/city,AK,2016,17162,16412,750,4.4
CN0212200000000,2,122,Kenai Peninsula Borough,AK,2016,27189,24972,2217,8.2
CN0213000000000,2,130,Ketchikan Gateway Borough,AK,2016,7028,6589,439,6.2
CN0215000000000,2,150,Kodiak Island Borough,AK,2016,6417,6098,319,5
CN0215800000000,2,158,Kusilvak Census Area,AK,2016,2660,2094,566,21.3
CN0216400000000,2,164,Lake and Peninsula Borough,AK,2016,633,555,78,12.3
CN0217000000000,2,170,Matanuska-Susitna Borough,AK,2016,46065,42356,3709,8.1
CN0218000000000,2,180,Nome Census Area,AK,2016,3987,3488,499,12.5
CN0218500000000,2,185,North Slope Borough,AK,2016,3968,3711,257,6.5
CN0218800000000,2,188,Northwest Arctic Borough,AK,2016,2889,2434,455,15.7
CN0219500000000,2,195,Petersburg Borough,AK,2016,1450,1325,125,8.6
CN0219800000000,2,198,Prince of Wales-Hyder Census Area,AK,2016,2780,2456,324,11.7
CN0222000000000,2,220,Sitka Borough/city,AK,2016,4425,4233,192,4.3
CN0223000000000,2,230,Skagway Municipality,AK,2016,801,716,85,10.6
CN0224000000000,2,240,Southeast Fairbanks Census Area,AK,2016,3019,2711,308,10.2
CN0226100000000,2,261,Valdez-Cordova Census Area,AK,2016,4851,4453,398,8.2
CN0227500000000,2,275,Wrangell Borough/city,AK,2016,1047,971,76,7.3
CN0228200000000,2,282,Yakutat Borough/city,AK,2016,247,227,20,8.1
CN0229000000000,2,290,Yukon-Koyukuk Census Area,AK,2016,2405,1991,414,17.2
CN0400100000000,4,1,Apache County,AZ,2016,20064,17791,2273,11.3
CN0400300000000,4,3,Cochise County,AZ,2016,50187,47116,3071,6.1
CN0400500000000,4,5,Coconino County,AZ,2016,74287,69890,4397,5.9
CN0400700000000,4,7,Gila County,AZ,2016,20976,19472,1504,7.2
CN0400900000000,4,9,Graham County,AZ,2016,14307,13352,955,6.7
CN0401100000000,4,11,Greenlee County,AZ,2016,3898,3602,296,7.6
CN0401200000000,4,12,La Paz County,AZ,2016,8493,7985,508,6
CN0401300000000,4,13,Maricopa County,AZ,2016,2076894,1983156,93738,4.5
CN0401500000000,4,15,Mohave County,AZ,2016,80432,75138,5294,6.6
CN0401700000000,4,17,Navajo County,AZ,2016,41331,37967,3364,8.1
CN0401900000000,4,19,Pima County,AZ,2016,472015,448937,23078,4.9
CN0402100000000,4,21,Pinal County,AZ,2016,161850,152976,8874,5.5
CN0402300000000,4,23,Santa Cruz County,AZ,2016,19288,17377,1911,9.9
CN0402500000000,4,25,Yavapai County,AZ,2016,99838,94987,4851,4.9
CN0402700000000,4,27,Yuma County,AZ,2016,94005,76519,17486,18.6
CN0500100000000,5,1,Arkansas County,AR,2016,9309,8987,322,3.5
CN0500300000000,5,3,Ashley County,AR,2016,7833,7338,495,6.3
CN0500500000000,5,5,Baxter County,AR,2016,16102,15404,698,4.3
CN0500700000000,5,7,Benton County,AR,2016,126311,122628,3683,2.9
CN0500900000000,5,9,Boone County,AR,2016,16013,15421,592,3.7
CN0501100000000,5,11,Bradley County,AR,2016,4387,4158,229,5.2
CN0501300000000,5,13,Calhoun County,AR,2016,2401,2288,113,4.7
CN0501500000000,5,15,Carroll County,AR,2016,12966,12505,461,3.6
CN0501700000000,5,17,Chicot County,AR,2016,3587,3349,238,6.6
CN0501900000000,5,19,Clark County,AR,2016,9460,9039,421,4.5
CN0502100000000,5,21,Clay County,AR,2016,6070,5725,345,5.7
CN0502300000000,5,23,Cleburne County,AR,2016,9534,8965,569,6
CN0502500000000,5,25,Cleveland County,AR,2016,3335,3183,152,4.6
CN0502700000000,5,27,Columbia County,AR,2016,9289,8750,539,5.8
CN0502900000000,5,29,Conway County,AR,2016,8462,7973,489,5.8
CN0503100000000,5,31,Craighead County,AR,2016,52140,50438,1702,3.3
CN0503300000000,5,33,Crawford County,AR,2016,26876,25817,1059,3.9
CN0503500000000,5,35,Crittenden County,AR,2016,21535,20547,988,4.6
CN0503700000000,5,37,Cross County,AR,2016,7961,7606,355,4.5
CN0503900000000,5,39,Dallas County,AR,2016,2917,2770,147,5
CN0504100000000,5,41,Desha County,AR,2016,5477,5176,301,5.5
CN0504300000000,5,43,Drew County,AR,2016,7891,7433,458,5.8
CN0504500000000,5,45,Faulkner County,AR,2016,60491,58175,2316,3.8
CN0504700000000,5,47,Franklin County,AR,2016,7363,7061,302,4.1
CN0504900000000,5,49,Fulton County,AR,2016,4692,4487,205,4.4
CN0505100000000,5,51,Garland County,AR,2016,40148,38406,1742,4.3
CN0505300000000,5,53,Grant County,AR,2016,8320,8018,302,3.6
CN0505500000000,5,55,Greene County,AR,2016,19877,19020,857,4.3
CN0505700000000,5,57,Hempstead County,AR,2016,9945,9565,380,3.8
CN0505900000000,5,59,Hot Spring County,AR,2016,14132,13570,562,4
CN0506100000000,5,61,Howard County,AR,2016,5942,5744,198,3.3
CN0506300000000,5,63,Independence County,AR,2016,16008,15210,798,5
CN0506500000000,5,65,Izard County,AR,2016,4989,4708,281,5.6
CN0506700000000,5,67,Jackson County,AR,2016,6099,5718,381,6.2
CN0506900000000,5,69,Jefferson County,AR,2016,28590,26983,1607,5.6
CN0507100000000,5,71,Johnson County,AR,2016,10518,10013,505,4.8
CN0507300000000,5,73,Lafayette County,AR,2016,2576,2424,152,5.9
CN0507500000000,5,75,Lawrence County,AR,2016,6942,6639,303,4.4
CN0507700000000,5,77,Lee County,AR,2016,3130,2979,151,4.8
CN0507900000000,5,79,Lincoln County,AR,2016,4088,3887,201,4.9
CN0508100000000,5,81,Little River County,AR,2016,5655,5390,265,4.7
CN0508300000000,5,83,Logan County,AR,2016,9164,8741,423,4.6
CN0508500000000,5,85,Lonoke County,AR,2016,33267,32147,1120,3.4
CN0508700000000,5,87,Madison County,AR,2016,7283,7051,232,3.2
CN0508900000000,5,89,Marion County,AR,2016,6556,6293,263,4
CN0509100000000,5,91,Miller County,AR,2016,20104,19264,840,4.2
CN0509300000000,5,93,Mississippi County,AR,2016,18216,16974,1242,6.8
CN0509500000000,5,95,Monroe County,AR,2016,2888,2746,142,4.9
CN0509700000000,5,97,Montgomery County,AR,2016,3068,2904,164,5.3
CN0509900000000,5,99,Nevada County,AR,2016,3669,3533,136,3.7
CN0510100000000,5,101,Newton County,AR,2016,3424,3291,133,3.9
CN0510300000000,5,103,Ouachita County,AR,2016,9843,9342,501,5.1
CN0510500000000,5,105,Perry County,AR,2016,4208,4006,202,4.8
CN0510700000000,5,107,Phillips County,AR,2016,6715,6316,399,5.9
CN0510900000000,5,109,Pike County,AR,2016,4184,4003,181,4.3
CN0511100000000,5,111,Poinsett County,AR,2016,10214,9778,436,4.3
CN0511300000000,5,113,Polk County,AR,2016,8197,7795,402,4.9
CN0511500000000,5,115,Pope County,AR,2016,29303,27945,1358,4.6
CN0511700000000,5,117,Prairie County,AR,2016,3647,3504,143,3.9
CN0511900000000,5,119,Pulaski County,AR,2016,187667,180958,6709,3.6
CN0512100000000,5,121,Randolph County,AR,2016,6459,6155,304,4.7
CN0512300000000,5,123,St. Francis County,AR,2016,8890,8425,465,5.2
CN0512500000000,5,125,Saline County,AR,2016,56518,54736,1782,3.2
CN0512700000000,5,127,Scott County,AR,2016,4463,4295,168,3.8
CN0512900000000,5,129,Searcy County,AR,2016,3033,2896,137,4.5
CN0513100000000,5,131,Sebastian County,AR,2016,57943,55782,2161,3.7
CN0513300000000,5,133,Sevier County,AR,2016,5676,5394,282,5
CN0513500000000,5,135,Sharp County,AR,2016,6049,5718,331,5.5
CN0513700000000,5,137,Stone County,AR,2016,4723,4477,246,5.2
CN0513900000000,5,139,Union County,AR,2016,16407,15501,906,5.5
CN0514100000000,5,141,Van Buren County,AR,2016,6076,5652,424,7
CN0514300000000,5,143,Washington County,AR,2016,119518,116259,3259,2.7
CN0514500000000,5,145,White County,AR,2016,34158,32373,1785,5.2
CN0514700000000,5,147,Woodruff County,AR,2016,3000,2835,165,5.5
CN0514900000000,5,149,Yell County,AR,2016,8804,8411,393,4.5
CN0600100000000,6,1,Alameda County,CA,2016,837917,802387,35530,4.2
CN0600300000000,6,3,Alpine County,CA,2016,556,520,36,6.5
CN0600500000000,6,5,Amador County,CA,2016,14646,13784,862,5.9
CN0600700000000,6,7,Butte County,CA,2016,102319,95626,6693,6.5
CN0600900000000,6,9,Calaveras County,CA,2016,20914,19737,1177,5.6
CN0601100000000,6,11,Colusa County,CA,2016,10887,9196,1691,15.5
CN0601300000000,6,13,Contra Costa County,CA,2016,556454,531815,24639,4.4
CN0601500000000,6,15,Del Norte County,CA,2016,9806,9075,731,7.5
CN0601700000000,6,17,El Dorado County,CA,2016,89737,85190,4547,5.1
CN0601900000000,6,19,Fresno County,CA,2016,446228,404134,42094,9.4
CN0602100000000,6,21,Glenn County,CA,2016,13091,12016,1075,8.2
CN0602300000000,6,23,Humboldt County,CA,2016,62674,59614,3060,4.9
CN0602500000000,6,25,Imperial County,CA,2016,76863,58784,18079,23.5
CN0602700000000,6,27,Inyo County,CA,2016,8984,8514,470,5.2
CN0602900000000,6,29,Kern County,CA,2016,389091,348922,40169,10.3
CN0603100000000,6,31,Kings County,CA,2016,57183,51484,5699,10
CN0603300000000,6,33,Lake County,CA,2016,29378,27427,1951,6.6
CN0603500000000,6,35,Lassen County,CA,2016,10517,9793,724,6.9
CN0603700000000,6,37,Los Angeles County,CA,2016,5054938,4789505,265433,5.3
CN0603900000000,6,39,Madera County,CA,2016,61468,55836,5632,9.2
CN0604100000000,6,41,Marin County,CA,2016,141059,136492,4567,3.2
CN0604300000000,6,43,Mariposa County,CA,2016,7552,7031,521,6.9
CN0604500000000,6,45,Mendocino County,CA,2016,39865,37782,2083,5.2
CN0604700000000,6,47,Merced County,CA,2016,115037,102981,12056,10.5
CN0604900000000,6,49,Modoc County,CA,2016,3327,3067,260,7.8
CN0605100000000,6,51,Mono County,CA,2016,8406,7958,448,5.3
CN0605300000000,6,53,Monterey County,CA,2016,220414,203752,16662,7.6
CN0605500000000,6,55,Napa County,CA,2016,73426,70299,3127,4.3
CN0605700000000,6,57,Nevada County,CA,2016,48419,46120,2299,4.7
CN0605900000000,6,59,Orange County,CA,2016,1602371,1538026,64345,4
CN0606100000000,6,61,Placer County,CA,2016,179819,171836,7983,4.4
CN0606300000000,6,63,Plumas County,CA,2016,7873,7114,759,9.6
CN0606500000000,6,65,Riverside County,CA,2016,1051815,988033,63782,6.1
CN0606700000000,6,67,Sacramento County,CA,2016,697427,660109,37318,5.4
CN0606900000000,6,69,San Benito County,CA,2016,29790,27774,2016,6.8
CN0607100000000,6,71,San Bernardino County,CA,2016,935579,882181,53398,5.7
CN0607300000000,6,73,San Diego County,CA,2016,1570422,1496954,73468,4.7
CN0607500000000,6,75,San Francisco County/city,CA,2016,559788,541582,18206,3.3
CN0607700000000,6,77,San Joaquin County,CA,2016,319187,293458,25729,8.1
CN0607900000000,6,79,San Luis Obispo County,CA,2016,140365,134383,5982,4.3
CN0608100000000,6,81,San Mateo County,CA,2016,448587,435151,13436,3
CN0608300000000,6,83,Santa Barbara County,CA,2016,216625,205779,10846,5
CN0608500000000,6,85,Santa Clara County,CA,2016,1026525,987905,38620,3.8
CN0608700000000,6,87,Santa Cruz County,CA,2016,144525,134554,9971,6.9
CN0608900000000,6,89,Shasta County,CA,2016,74700,69533,5167,6.9
CN0609100000000,6,91,Sierra County,CA,2016,1349,1247,102,7.6
CN0609300000000,6,93,Siskiyou County,CA,2016,17917,16402,1515,8.5
CN0609500000000,6,95,Solano County,CA,2016,207882,196527,11355,5.5
CN0609700000000,6,97,Sonoma County,CA,2016,260479,250183,10296,4
CN0609900000000,6,99,Stanislaus County,CA,2016,244500,223655,20845,8.5
CN0610100000000,6,101,Sutter County,CA,2016,45327,40980,4347,9.6
CN0610300000000,6,103,Tehama County,CA,2016,25201,23413,1788,7.1
CN0610500000000,6,105,Trinity County,CA,2016,5067,4709,358,7.1
CN0610700000000,6,107,Tulare County,CA,2016,205909,183282,22627,11
CN0610900000000,6,109,Tuolumne County,CA,2016,21858,20513,1345,6.2
CN0611100000000,6,111,Ventura County,CA,2016,427785,405636,22149,5.2
CN0611300000000,6,113,Yolo County,CA,2016,106271,100125,6146,5.8
CN0611500000000,6,115,Yuba County,CA,2016,28319,25908,2411,8.5
CN0800100000000,8,1,Adams County,CO,2016,253515,244325,9190,3.6
CN0800300000000,8,3,Alamosa County,CO,2016,7906,7580,326,4.1
CN0800500000000,8,5,Arapahoe County,CO,2016,341904,331217,10687,3.1
CN0800700000000,8,7,Archuleta County,CO,2016,6313,6102,211,3.3
CN0800900000000,8,9,Baca County,CO,2016,2119,2082,37,1.7
CN0801100000000,8,11,Bent County,CO,2016,1852,1794,58,3.1
CN0801300000000,8,13,Boulder County,CO,2016,180909,176017,4892,2.7
CN0801400000000,8,14,Broomfield County/city,CO,2016,36455,35384,1071,2.9
CN0801500000000,8,15,Chaffee County,CO,2016,8779,8542,237,2.7
CN0801700000000,8,17,Cheyenne County,CO,2016,1068,1043,25,2.3
CN0801900000000,8,19,Clear Creek County,CO,2016,5681,5499,182,3.2
CN0802100000000,8,21,Conejos County,CO,2016,3783,3597,186,4.9
CN0802300000000,8,23,Costilla County,CO,2016,1707,1623,84,4.9
CN0802500000000,8,25,Crowley County,CO,2016,1385,1335,50,3.6
CN0802700000000,8,27,Custer County,CO,2016,1993,1930,63,3.2
CN0802900000000,8,29,Delta County,CO,2016,13868,13172,696,5
CN0803100000000,8,31,Denver County/city,CO,2016,384331,372228,12103,3.1
CN0803300000000,8,33,Dolores County,CO,2016,1055,1013,42,4
CN0803500000000,8,35,Douglas County,CO,2016,176472,171714,4758,2.7
CN0803700000000,8,37,Eagle County,CO,2016,33651,32716,935,2.8
CN0803900000000,8,39,Elbert County,CO,2016,13714,13350,364,2.7
CN0804100000000,8,41,El Paso County,CO,2016,314872,302948,11924,3.8
CN0804300000000,8,43,Fremont County,CO,2016,14595,13827,768,5.3
CN0804500000000,8,45,Garfield County,CO,2016,30819,29722,1097,3.6
CN0804700000000,8,47,Gilpin County,CO,2016,3471,3386,85,2.4
CN0804900000000,8,49,Grand County,CO,2016,9105,8857,248,2.7
CN0805100000000,8,51,Gunnison County,CO,2016,10088,9855,233,2.3
CN0805300000000,8,53,Hinsdale County,CO,2016,442,432,10,2.3
CN0805500000000,8,55,Huerfano County,CO,2016,2489,2329,160,6.4
CN0805700000000,8,57,Jackson County,CO,2016,885,861,24,2.7
CN0805900000000,8,59,Jefferson County,CO,2016,316062,306619,9443,3
CN0806100000000,8,61,Kiowa County,CO,2016,858,840,18,2.1
CN0806300000000,8,63,Kit Carson County,CO,2016,4471,4375,96,2.1
CN0806500000000,8,65,Lake County,CO,2016,4572,4440,132,2.9
CN0806700000000,8,67,La Plata County,CO,2016,30743,29842,901,2.9
CN0806900000000,8,69,Larimer County,CO,2016,187235,181929,5306,2.8
CN0807100000000,8,71,Las Animas County,CO,2016,6155,5838,317,5.2
CN0807300000000,8,73,Lincoln County,CO,2016,2268,2209,59,2.6
CN0807500000000,8,75,Logan County,CO,2016,10992,10658,334,3
CN0807700000000,8,77,Mesa County,CO,2016,71959,68077,3882,5.4
CN0807900000000,8,79,Mineral County,CO,2016,463,453,10,2.2
CN0808100000000,8,81,Moffat County,CO,2016,7156,6867,289,4
CN0808300000000,8,83,Montezuma County,CO,2016,12638,12002,636,5
CN0808500000000,8,85,Montrose County,CO,2016,19984,19142,842,4.2
CN0808700000000,8,87,Morgan County,CO,2016,14975,14445,530,3.5
CN0808900000000,8,89,Otero County,CO,2016,8124,7736,388,4.8
CN0809100000000,8,91,Ouray County,CO,2016,2134,2052,82,3.8
CN0809300000000,8,93,Park County,CO,2016,9590,9318,272,2.8
CN0809500000000,8,95,Phillips County,CO,2016,2488,2437,51,2
CN0809700000000,8,97,Pitkin County,CO,2016,10837,10470,367,3.4
CN0809900000000,8,99,Prowers County,CO,2016,6053,5855,198,3.3
CN0810100000000,8,101,Pueblo County,CO,2016,72966,69423,3543,4.9
CN0810300000000,8,103,Rio Blanco County,CO,2016,2723,2583,140,5.1
CN0810500000000,8,105,Rio Grande County,CO,2016,5147,4887,260,5.1
CN0810700000000,8,107,Routt County,CO,2016,14802,14407,395,2.7
CN0810900000000,8,109,Saguache County,CO,2016,3210,3052,158,4.9
CN0811100000000,8,111,San Juan County,CO,2016,474,456,18,3.8
CN0811300000000,8,113,San Miguel County,CO,2016,5136,4966,170,3.3
CN0811500000000,8,115,Sedgwick County,CO,2016,1174,1146,28,2.4
CN0811700000000,8,117,Summit County,CO,2016,21068,20623,445,2.1
CN0811900000000,8,119,Teller County,CO,2016,11655,11214,441,3.8
CN0812100000000,8,121,Washington County,CO,2016,2900,2837,63,2.2
CN0812300000000,8,123,Weld County,CO,2016,149365,144230,5135,3.4
CN0812500000000,8,125,Yuma County,CO,2016,5448,5329,119,2.2
CN0900100000000,9,1,Fairfield County,CT,2016,482418,459238,23180,4.8
CN0900300000000,9,3,Hartford County,CT,2016,473144,447840,25304,5.3
CN0900500000000,9,5,Litchfield County,CT,2016,104907,100041,4866,4.6
CN0900700000000,9,7,Middlesex County,CT,2016,92081,88051,4030,4.4
CN0900900000000,9,9,New Haven County,CT,2016,454896,430024,24872,5.5
CN0901100000000,9,11,New London County,CT,2016,136592,129714,6878,5
CN0901300000000,9,13,Tolland County,CT,2016,84865,81153,3712,4.4
CN0901500000000,9,15,Windham County,CT,2016,62887,59457,3430,5.5
CN1000100000000,10,1,Kent County,DE,2016,77541,73860,3681,4.7
CN1000300000000,10,3,New Castle County,DE,2016,295092,282447,12645,4.3
